age,monthly_income,loan_amount,loan_term,dti,credit_history,num_dependents,name,job,city,default
62,5107,20053,24,0.487082544323578,2,3,John 181,Content Creator,Puchong,1
64,1700,12085,24,0.8782524677323466,9,5,Ahmad 182,Editor,Klang,1
44,3706,31564,60,0.5272551499506771,8,5,John 183,Teacher,Kajang,1
35,1700,25209,24,0.929870482293879,1,3,Ahmad 184,Doctor,Kota Bharu,0
52,5586,4981,36,0.48379689658279634,3,2,John 185,Nurse,Kuantan,0
52,5566,22153,24,0.49044909673594994,7,4,Ahmad 186,Marketing Manager,Kuala Lumpur,1
44,3413,6247,48,0.11974678850053189,5,2,John 187,Receptionist,Cyberjaya,1
61,6080,11553,24,0.8026562441522198,6,1,Ahmad 188,Real Estate Agent,Tawau,1
32,2435,21811,60,0.2469654124670625,6,0,John 189,Financial Advisor,Alor Setar,1
59,3066,30845,24,0.8996124893723151,1,0,Ahmad 190,Data Scientist,Bukit Mertajam,1
22,5834,7135,36,0.9108242203303961,3,5,John 191,Business Analyst,Kampar,1
23,3622,6573,36,0.9433101118741497,9,4,Ahmad 192,Factory Worker,Muar,1
57,4874,14731,24,0.52023048910309,9,2,John 193,Nurse,Shah Alam,1
37,3872,8189,36,0.6770937847836443,5,5,Ahmad 194,Customer Service Representative,Semporna,1
22,4178,15541,36,0.7785158800616635,2,3,John 195,Factory Worker,Kulim,1
22,4265,44646,60,0.1310146186504656,8,5,Ahmad 196,Electrician,Mentakab,1
48,3586,12087,48,0.6009571949974972,3,3,John 197,Journalist,Kangar,1
43,5604,47435,60,0.03429790130331167,9,3,Ahmad 198,Doctor,Nibong Tebal,1
57,3744,3776,12,0.4975660833887259,1,1,John 199,Pharmacist,Chukai,0
52,5031,43079,60,0.1548426816202274,5,1,Ahmad 200,Plumber,Port Dickson,1
53,3542,28564,24,0.1829229259620847,0,3,John 201,Financial Advisor,Kangar,1
21,1931,29835,48,0.3650475666926015,5,4,Ahmad 202,Plumber,Jasin,1
39,6824,8697,24,0.432437166716503,9,1,John 203,Marketing Manager,Sepang,1
22,5999,15629,12,0.6231724245321872,0,1,Ahmad 204,Data Scientist,Sepang,1
64,9577,9386,48,0.07442841843851566,7,0,John 205,Financial Advisor,Alor Setar,0
46,2912,18046,36,0.5036917612374446,4,5,Ahmad 206,Mechanic,Alor Gajah,1
52,4582,9044,60,0.18262513025310112,5,0,John 207,Doctor,Muar,1
26,4742,10615,24,0.5739751750317419,1,4,Ahmad 208,Sales Executive,Arau,1
52,6978,48802,12,0.6374046122611835,1,1,John 209,Delivery Rider,Pasir Mas,1
24,3985,6060,36,0.5567092565528539,8,1,Ahmad 210,Data Scientist,Gua Musang,1
31,2657,11900,60,0.7382955104783077,2,2,John 211,Accountant,Temerloh,1
37,7415,6581,36,0.3356092442409013,5,4,Ahmad 212,Graphic Designer,Alor Gajah,1
58,4366,35782,60,0.7651065916331309,9,5,John 213,Nurse,Lahad Datu,1
44,6757,21173,48,0.43276708170819367,4,5,Ahmad 214,Architect,Mersing,1
25,6524,13997,36,0.4841844983225968,3,5,John 215,Receptionist,Sri Aman,1
54,4940,44403,36,0.6481021272610714,9,4,Ahmad 216,Pharmacist,Ampang,1
26,4651,47416,36,0.01835838399922396,1,2,John 217,Graphic Designer,Kapit,1
42,4216,8148,48,0.6539942214202483,7,2,Ahmad 218,Clerk,Sandakan,1
31,4969,19748,12,0.6185851490721154,9,0,John 219,Mechanical Engineer,Segamat,1
36,6726,15022,60,0.3098471167532799,6,4,Ahmad 220,Financial Advisor,Bentong,1
53,3407,21013,36,0.08579428489948948,1,4,John 221,Architect,Bahau,1
29,5217,39687,48,0.09093544991304114,5,2,Ahmad 222,Factory Worker,Cyberjaya,1
26,2762,16886,12,0.9232237469852286,7,3,John 223,Mechanical Engineer,Gua Musang,1
36,3011,26256,60,0.6892793212258371,6,3,Ahmad 224,Pharmacist,Putrajaya,1
49,4938,31005,48,0.1271026137707404,0,0,John 225,Clerk,Shah Alam,1
23,1700,7638,60,0.35672316930890635,4,3,Ahmad 226,Electrician,Gua Musang,1
40,9121,38419,36,0.5924829939015964,1,3,John 227,Accountant,Muar,1
56,2613,34377,12,0.8355717050906487,5,3,Ahmad 228,Teacher,Melaka City,1
39,4919,41708,48,0.04366092871300853,6,1,John 229,Nurse,Bahau,1
46,7336,44116,12,0.23663313147000886,6,0,Ahmad 230,Graphic Designer,Miri,1
23,3274,37634,36,0.88974899029538,2,2,John 231,Civil Engineer,Tawau,1
39,1700,17755,12,0.009165550183816484,6,3,Ahmad 232,Doctor,Nibong Tebal,1
40,4110,24382,12,0.2013991027938874,4,5,John 233,Director,Subang Jaya,1
52,3250,23394,24,0.959024175972966,7,1,Ahmad 234,Nurse,Rawang,1
27,1700,3253,12,0.6134018465221711,7,3,John 235,Sales Executive,Teluk Intan,1
61,5569,38710,60,0.26167136663750645,6,1,Ahmad 236,Waiter,Bintulu,1
53,5414,46098,48,0.0669910943958476,5,0,John 237,Editor,Melaka City,1
60,7284,1864,24,0.028191340447222157,1,5,Ahmad 238,Project Manager,Bukit Mertajam,0
59,2758,35036,48,0.24474507963692727,5,5,John 239,Civil Engineer,Sungai Petani,1
38,1801,41222,48,0.8814858195889105,8,5,Ahmad 240,CEO,Arau,1
60,4186,14666,36,0.4159136542975095,1,3,John 241,Accountant,Sandakan,1
21,4823,21955,36,0.720333369165993,0,1,Ahmad 242,Director,Petaling Jaya,1
31,6842,46138,24,0.9182850353799578,4,5,John 243,Human Resources Manager,Iskandar Puteri,1
48,7821,38997,36,0.4080404616028166,5,4,Ahmad 244,Dentist,Alor Gajah,1
45,7428,17309,36,0.19127737103739706,2,4,John 245,Mechanic,Taiping,1
43,5553,5054,36,0.5171179308569195,7,1,Ahmad 246,Clerk,Melaka City,0
51,6598,1935,48,0.9080836870598544,6,3,John 247,Architect,Jitra,1
50,3719,45940,24,0.8043744141377006,1,3,Ahmad 248,Director,Alor Gajah,1
62,5336,23778,48,0.06582984336315378,6,0,John 249,Teacher,Melaka City,1
55,2617,44298,60,0.6925728000775818,0,0,Ahmad 250,Nurse,Teluk Intan,1
27,5125,49328,48,0.5718975224589538,8,5,John 251,Software Engineer,Arau,1
36,5177,49924,60,0.9074631763464255,6,2,Ahmad 252,Waiter,Teluk Intan,1
46,8444,17709,12,0.12248141685029723,5,0,John 253,Technician,Besut,1
22,4542,10726,12,0.5340361132046566,1,3,Ahmad 254,Teacher,Melaka City,1
21,5180,41542,60,0.8794626935118923,2,2,John 255,CEO,Kluang,1
32,5473,21245,60,0.410023786741743,0,0,Ahmad 256,Editor,Ipoh,1
25,4090,35753,48,0.48199491773286707,9,1,John 257,Nurse,Ampang,1
57,3395,15252,60,0.0704606776669583,4,4,Ahmad 258,Financial Advisor,Alor Gajah,1
52,7597,22316,24,0.2781436404489108,8,0,John 259,Project Manager,Gua Musang,1
29,3038,38371,12,0.32450664916894734,5,0,Ahmad 260,Software Engineer,Miri,1
61,2344,20162,12,0.9451224487448869,4,1,John 261,Dentist,Raub,1
55,6360,16960,60,0.28266736054115904,2,3,Ahmad 262,Waiter,Kangar,1
39,7315,31791,36,0.460868735269652,4,5,John 263,Technician,Seremban,1
36,4097,43230,36,0.6713044235642798,7,1,Ahmad 264,Police Officer,Mersing,1
23,4127,26216,60,0.1621833724078774,1,5,John 265,Graphic Designer,Kluang,1
40,5565,33467,24,0.4864423871418745,4,0,Ahmad 266,Software Engineer,Cyberjaya,1
44,3584,47934,36,0.7385390394759076,5,3,John 267,Graphic Designer,Tanah Merah,1
53,3436,8754,60,0.866855213027066,9,2,Ahmad 268,Electrician,Butterworth,1
44,6759,48014,24,0.6262592746624267,7,0,John 269,Data Scientist,Sri Aman,1
31,6214,5078,24,0.6690535153169479,7,1,Ahmad 270,Chef,Ampang,0
28,7622,13853,48,0.12628347258456896,4,2,John 271,Operations Manager,Putrajaya,1
56,2494,5042,24,0.9457764972463472,8,4,Ahmad 272,CEO,Shah Alam,1
58,3995,15389,36,0.13257407748448236,3,2,John 273,Police Officer,Bayan Lepas,1
60,5562,31425,36,0.7746729371817983,8,1,Ahmad 274,Grab Driver,Seremban,1
40,3148,3575,60,0.2648163217783188,6,2,John 275,Receptionist,Nilai,0
55,6283,40522,60,0.9335931437012516,5,1,Ahmad 276,Sales Executive,Besut,1
45,7449,29179,24,0.7199595393694795,3,0,John 277,Accountant,Taiping,1
55,3833,35754,12,0.753813712978369,1,3,Ahmad 278,Teacher,Butterworth,1
45,5077,19624,48,0.21905917305988332,7,4,John 279,Chef,Putrajaya,1
49,7911,21350,12,0.4430399766351608,5,3,Ahmad 280,Data Scientist,Mersing,1
38,8598,27681,24,0.6178131945892864,2,3,John 281,Real Estate Agent,Petaling Jaya,1
38,6491,24988,24,0.7699736182066009,6,3,Ahmad 282,Financial Advisor,Sungai Petani,1
22,6186,16470,12,0.10395937591238957,9,1,John 283,Sales Executive,Iskandar Puteri,1
55,3292,25704,48,0.9623653164545284,6,1,Ahmad 284,Dentist,Temerloh,1
36,5718,39736,12,0.890220670554556,5,4,John 285,Teacher,George Town,1
61,6113,30377,60,0.27034859049558435,1,1,Ahmad 286,Financial Advisor,Subang Jaya,1
56,4579,29572,36,0.822760243032332,7,5,John 287,Journalist,Jasin,1
53,3810,8493,60,0.5183239230398234,0,1,Ahmad 288,Plumber,Kluang,1
24,2437,5103,36,0.46180648156201864,0,1,John 289,Software Engineer,Teluk Intan,1
53,1700,35844,24,0.3144341058114054,5,1,Ahmad 290,Waiter,Kapit,1
34,1700,3994,48,0.5809685866315925,4,0,John 291,Customer Service Representative,Mersing,1
41,6158,4744,12,0.7298891177035978,8,4,Ahmad 292,Factory Worker,Dungun,1
40,5295,48234,48,0.41093290496275825,6,5,John 293,Operations Manager,Kuala Lumpur,1
28,4032,48291,12,0.6292191930082921,1,1,Ahmad 294,Factory Worker,Taiping,1
27,4337,28332,60,0.6993129211553037,6,4,John 295,Business Analyst,Sandakan,1
23,5420,6594,60,0.7111218170152859,2,2,Ahmad 296,Teacher,Bahau,1
37,4670,41299,12,0.05196609813118025,0,0,John 297,Human Resources Manager,Kangar,1
53,2318,8371,48,0.8597478056850669,7,1,Ahmad 298,Real Estate Agent,Kampar,1
32,6826,48315,12,0.45825331476504794,2,5,John 299,Electrician,Bintulu,1
42,5608,19028,24,0.26241608169621444,7,0,Ahmad 300,Data Scientist,Alor Gajah,1
42,5531,36912,60,0.2417645074796816,6,5,John 301,Civil Engineer,Subang Jaya,1
50,6675,14990,24,0.48301411284395046,1,0,Ahmad 302,Editor,Kampar,1
58,3372,47851,60,0.8868315394689592,0,2,John 303,Real Estate Agent,Jitra,1
58,7427,17626,60,0.3783475816826469,6,4,Ahmad 304,Director,Bukit Mertajam,1
28,4719,21469,36,0.7497257467835433,0,0,John 305,Real Estate Agent,Pasir Mas,1
47,6777,41722,24,0.0968187309872186,5,3,Ahmad 306,Chef,Sibu,1
47,6468,41037,24,0.4760567021510618,9,2,John 307,Teacher,Rawang,1
54,2922,8130,36,0.9916861403927356,9,3,Ahmad 308,Real Estate Agent,Cameron Highlands,1
41,6005,7828,48,0.770437802792337,7,2,John 309,Social Media Manager,Bintulu,1
50,5652,42612,24,0.210528488440613,6,3,Ahmad 310,Delivery Rider,Kluang,1
53,5060,47988,12,0.5014414736979107,3,3,John 311,Teacher,Bentong,1
48,4811,40099,36,0.23362476364856655,0,5,Ahmad 312,Marketing Manager,Tawau,1
53,4828,47165,24,0.40956092726250926,0,0,John 313,CEO,Petaling Jaya,1
25,6625,18883,48,0.7800840237349648,3,0,Ahmad 314,Police Officer,Bahau,1
39,6155,44059,24,0.7712248152904037,4,2,John 315,Teacher,Sitiawan,1
24,5060,19542,60,0.22810037790238513,6,4,Ahmad 316,Director,Nibong Tebal,1
55,2016,43932,12,0.9222233181548601,3,5,John 317,Marketing Manager,Kangar,1
37,5988,11450,36,0.5925681827648268,9,0,Ahmad 318,Graphic Designer,Bahau,1
64,6447,21423,60,0.3799242909620145,0,0,John 319,Sales Executive,Sitiawan,1
